Population,Life expectancy at birth,Area,Natural hazards,Country,GDP per capita ($ PPP)
33487208.0,81.23,9984670.0,continuous permafrost in north is a serious obstacle to development; cyclonic storms form east of the Rocky Mountains a result of the mixing of air masses from the Arctic Pacific and North American interior and produce most of the country's rain and snow east of the mountains,Canada,39300
212679.0,68.32,964.0,,Sao Tome and Principe,1300
65870.0,80.77,78.0,,Guernsey,44600
4884887.0,67.87,488100.0,,Turkmenistan,6100
7637.0,78.44,308.0,active volcanism on Tristan da Cunha last eruption in 1961,Saint Helena,2500
3555179.0,74.9,65300.0,,Lithuania,17700
14494293.0,62.1,181035.0,monsoonal rains (June to November); flooding; occasional droughts,Cambodia,2000
85237338.0,55.41,1104300.0,geologically active Great Rift Valley susceptible to earthquakes volcanic eruptions; frequent droughts,Ethiopia,800
103065.0,75.28,180.0,hurricanes; lies outside the Caribbean hurricane belt and is rarely threatened,Aruba,21800
1123913.0,31.88,17364.0,drought,Swaziland,5100
15289.0,78.2,142.0,,Wallis and Futuna,3800
40913584.0,76.56,2780400.0,San Miguel de Tucuman and Mendoza areas in the Andes subject to earthquakes; pamperos are violent windstorms that can strike the pampas and northeast; heavy flooding,Argentina,14200
9775246.0,66.89,1098581.0,flooding in the northeast (March-April),Bolivia,4500
18879301.0,53.69,475440.0,volcanic activity with periodic releases of poisonous gases from Lake Nyos and Lake Monoun volcanoes,Cameroon,2300
15746232.0,52.95,274200.0,recurring droughts,Burkina Faso,1200
23832495.0,59.85,238533.0,dry dusty northeastern harmattan winds occur from January to March; droughts,Ghana,1500
28686633.0,76.3,2149690.0,frequent sand and dust storms,Saudi Arabia,20700
429474.0,71.61,4033.0,prolonged droughts; seasonal harmattan wind produces obscuring dust; volcanically and seismically active,Cape Verde,3800
88662.0,76.7,464.0,active volcanoes on Pagan and Agrihan; typhoons (especially August to November),Northern Mariana Islands abbreviation: CNMI,12500
2005692.0,76.92,20273.0,flooding; earthquakes,Slovenia,29500
13276517.0,70.29,108889.0,numerous volcanoes in mountains with occasional violent earthquakes; Caribbean coast extremely susceptible to hurricanes and other tropical storms,Guatemala,5200
4613414.0,78.5,51197.0,destructive earthquakes,Bosnia and Herzegovina,6500
2691158.0,77.71,17818.0,sudden cloudbursts are common from October to April and bring heavy rain which can damage roads and houses; sandstorms and dust storms occur throughout the year but are most common between March and August,Kuwait,57400
6342948.0,78.87,89342.0,droughts; periodic earthquakes,Jordan,5000
40525002.0,80.05,505370.0,periodic droughts,Spain,34600
3441790.0,41.84,111369.0,dust-laden harmattan winds blow from the Sahara (December to March),Liberia,500
16715999.0,79.4,41543.0,flooding,Netherlands,40300
2825928.0,73.53,10991.0,hurricanes (especially July to November),Jamaica,7400
3418085.0,74.16,309500.0,summer winds often raise large sandstorms and dust storms in interior; periodic droughts,Oman,20200
41048532.0,52.01,947300.0,flooding on the central plateau during the rainy season; drought,Tanzania,1300
76512.0,78.82,572.0,,Isle of Man abbreviation: I.O.M.,35000
1514993.0,53.11,267667.0,,Gabon,14400
68692542.0,54.36,2344858.0,periodic droughts in south; Congo River floods (seasonal); in the east in the Great Rift Valley there are active volcanoes,DRC,300
32965.0,80.09,2.0,,Monaco,30000
219998.0,71.86,2831.0,occasional typhoons; active volcanism,Samoa,4900
4213418.0,80.36,267710.0,earthquakes are common though usually not severe; volcanic activity,New Zealand abbreviation: NZ,27900
23822783.0,63.27,527968.0,sandstorms and dust storms in summer,Yemen,2400
91626.0,79.75,116.0,,Jersey,57000
176242949.0,64.49,796095.0,frequent earthquakes occasionally severe especially in north and west; flooding along the Indus after heavy rains (July and August),Pakistan,2600
3639453.0,77.96,28748.0,destructive earthquakes; tsunamis occur along southwestern coast; floods; drought,Albania,6000
2461267.0,74.54,5860.0,droughts,West Bank,2900
559846.0,84.36,28.0,typhoons,Macau,30000
4798491.0,76.11,83600.0,frequent sand and dust storms,none,40000
1804838.0,,10887.0,,Kosovo,2300
1166079217.0,69.89,3287263.0,droughts; flash floods as well as widespread and destructive flooding from monsoonal rains; severe thunderstorms; earthquakes,India,2800
8238672.0,66.66,86600.0,droughts,Azerbaijan,9000
2130819.0,40.38,30355.0,periodic droughts,Lesotho,1600
104574.0,73.65,389.0,hurricanes; Soufriere volcano on the island of Saint Vincent is a constant threat,Saint Vincent and the Grenadines,10500
39002772.0,57.86,580367.0,recurring drought; flooding during rainy seasons,Kenya,1600
9648533.0,70.63,207600.0,,Belarus,11800
7349145.0,65.33,143100.0,earthquakes; floods,Tajikistan,2100
57600.0,70.07,2166086.0,continuous permafrost over northern two-thirds of the island,Greenland,20000
76805524.0,71.96,783562.0,severe earthquakes especially in northern Turkey along an arc extending from the Sea of Marmara to Lake Van,Turkey,12000
33609937.0,44.64,652230.0,damaging earthquakes occur in Hindu Kush mountains; flooding; droughts,Afghanistan,800
944720.0,70.73,18274.0,cyclonic storms can occur from November to January,Fiji,3900
156050883.0,60.25,143998.0,droughts; cyclones; much of the country routinely inundated during the summer monsoon season,Bangladesh,1500
5647168.0,61.78,117600.0,frequent droughts; locust swarms,Eritrea,700
595613.0,73.69,28896.0,typhoons but rarely destructive; geologically active region with frequent earthquakes tremors and volcanic activity; tsunamis,Solomon Islands,1900
22942.0,75.42,948.0,frequent hurricanes,Turks and Caicos Islands abbreviation: TCI,11500
160267.0,76.45,616.0,hurricanes; volcanic activity,Saint Lucia,11300
1551859.0,73.42,360.0,droughts,Gaza Strip,2900
30324.0,81.97,61.0,,San Marino,41900
3041142.0,67.65,1564116.0,"dust storms; grassland and forest fires; drought; ""zud "" which is harsh winter conditions",Mongolia,3200
64057792.0,80.98,643427.0,metropolitan France: flooding; avalanches; midwinter windstorms; drought; forest fires in south near the Mediterranean overseas departments: hurricanes (cyclones); flooding; volcanic activity (Guadeloupe Martinique Reunion),France,32700
10473282.0,50.52,26338.0,periodic droughts; the volcanic Virunga mountains are in the northwest along the border with Democratic Republic of the Congo,Rwanda,900
5463046.0,75.4,49035.0,,Slovakia,21900
9832017.0,49.63,637657.0,recurring droughts; frequent dust storms over eastern plains in summer; floods during rainy season,Somalia,600
29546963.0,70.74,1285216.0,earthquakes tsunamis flooding landslides mild volcanic activity,Peru,8400
6834942.0,56.68,236800.0,floods droughts,Laos,2100
14019.0,64.2,21.0,periodic droughts,Nauru,5000
87476.0,73.02,455.0,lies outside the cyclone belt so severe storms are rare; short droughts possible,Seychelles,17000
4660539.0,79.95,323802.0,rockslides avalanches,Norway,55200
14268711.0,43.82,118484.0,,Malawi,800
11870.0,74.22,236.0,typhoons (November to March),Cook Islands,9100
8791832.0,59.0,112622.0,hot dry dusty harmattan wind may affect north from December to March,Benin,1500
48508972.0,78.72,99720.0,occasional typhoons bring high winds and floods; low-level seismic activity common in southwest,South Korea,26000
405210.0,54.32,266000.0,hot dry dust/sand-laden sirocco wind can occur during winter and spring; widespread harmattan haze exists 60% of time often severely restricting visibility,Western Sahara,2500
11451652.0,77.45,110860.0,the east coast is subject to hurricanes from August to November (in general the country averages about one hurricane every other year); droughts are common,Cuba,9500
672180.0,,13812.0,destructive earthquakes,Montenegro,9700
40131.0,73.2,261.0,hurricanes (July to October),Saint Kitts and Nevis,19700
6019877.0,58.69,56785.0,hot dry harmattan wind can reduce visibility in north during winter; periodic droughts,Togo,900
109825.0,79.05,1910.0,several hurricanes in recent years; frequent and severe droughts and floods; occasional earthquakes,Virgin Islands,14500
1338612968.0,73.47,9596961.0,frequent typhoons (about five per year along southern and eastern coasts); damaging floods; tsunamis; earthquakes; droughts; land subsidence,China,6000
2967004.0,72.68,29743.0,occasionally severe earthquakes; droughts,Armenia,6400
1131612.0,67.27,14874.0,floods and landslides are common; earthquakes; tsunamis; tropical cyclones,Timor-Leste,2400
9650054.0,73.7,48670.0,lies in the middle of the hurricane belt and subject to severe storms from June to October; occasional flooding; periodic droughts,The Dominican,8100
45700395.0,68.25,603550.0,,Ukraine,6900
727785.0,75.16,741.0,periodic droughts; dust storms,Bahrain,37200
120898.0,70.73,747.0,cyclones (October to April); earthquakes and volcanic activity on Fonuafo'ou,Tonga,4600
5250275.0,78.97,338145.0,,Finland,37200
6310434.0,77.26,1759540.0,hot dry dust-laden ghibli is a southern wind lasting one to four days in spring and fall; dust storms sandstorms,Libya,14400
240271522.0,70.76,1904569.0,occasional floods; severe droughts; tsunamis; earthquakes; volcanoes; forest fires,Indonesia,3900
4511488.0,44.47,622984.0,hot dry dusty harmattan winds affect northern areas; floods are common,none,700
307212123.0,78.11,9826675.0,tsunamis; volcanoes; earthquake activity around Pacific Basin; hurricanes along the Atlantic and Gulf of Mexico coasts; tornadoes in the midwest and southeast; mud slides in California; forest fires in the west; flooding; permafrost in northern Alaska a major impediment to development,United States abbreviation: US or USA,47000
9059651.0,80.86,450295.0,ice floes in the surrounding waters especially in the Gulf of Bothnia can interfere with maritime traffic,Sweden,38500
86967524.0,71.58,331210.0,occasional typhoons (May to January) with extensive flooding especially in the Mekong River delta,Vietnam,2800
24491.0,77.26,151.0,hurricanes and tropical storms (July to October),British Virgin Islands abbreviation: BVI,38500
12666987.0,50.35,1240192.0,hot dust-laden harmattan haze common during dry seasons; recurring droughts; occasional Niger River flooding,Mali,1200
140041247.0,66.03,17098242.0,permafrost over much of Siberia is a major impediment to development; volcanic activity in the Kuril Islands; volcanoes and earthquakes on the Kamchatka Peninsula; spring floods and summer/autumn forest fires throughout Siberia and parts of European Russia,Russia,15800
7204687.0,73.09,110879.0,earthquakes; landslides,Bulgaria,12900
1284264.0,74.0,2040.0,cyclones (November to April); almost completely surrounded by reefs that may pose maritime hazards,Mauritius,12100
22215421.0,72.45,238391.0,earthquakes most severe in south and southwest; geologic structure and climate promote landslides,Romania,12200
12799293.0,38.2,1246700.0,locally heavy rainfall causes periodic flooding on the plateau,Angola,8800
10329208.0,47.7,1284000.0,hot dry dusty harmattan winds occur in north; periodic droughts; locust plagues,Chad,1600
49052489.0,48.98,1219090.0,prolonged droughts,South Africa,10000
1416.0,,12.0,lies in Pacific typhoon belt,Tokelau,1000
796740.0,78.33,9251.0,moderate earthquake activity; droughts,Cyprus,28600
34761.0,80.06,160.0,,Liechtenstein,118000
833285.0,75.35,11586.0,haze dust storms sandstorms common,Qatar,103500
25715819.0,73.29,329847.0,flooding; landslides; forest fires,Malaysia,15300
13711597.0,59.0,196722.0,lowlands seasonally flooded; periodic droughts,Senegal,1600
21669278.0,41.18,799380.0,severe droughts; devastating cyclones and floods in central and southern provinces,Mozambique,900
32369558.0,52.72,241038.0,,Uganda,1100
9905596.0,73.44,93028.0,,Hungary,19800
15306252.0,52.6,1267000.0,recurring droughts,Niger,700
198739269.0,71.99,8514877.0,recurring droughts in northeast; floods and occasional frost in south,Brazil,10100
48856.0,79.44,1393.0,,Faroe Islands,31000
10057975.0,57.09,245857.0,hot dry dusty harmattan haze may reduce visibility during dry season,Guinea,1100
3360474.0,77.25,75420.0,occasional severe storms and forest fires in the Darien area,Panama,11600
772298.0,66.68,214969.0,flash floods are a constant threat during rainy seasons,Guyana,3900
4253877.0,77.58,51100.0,occasional earthquakes hurricanes along Atlantic coast; frequent flooding of lowlands at onset of rainy season and landslides; active volcanoes,Costa Rica,11600
491775.0,79.33,2586.0,,Luxembourg,81100
65628.0,73.72,199.0,typhoons common from December to March,American Samoa abbreviation: AS,8000
83888.0,82.51,468.0,avalanches,Andorra,42500
107434.0,70.94,702.0,typhoons (June to December),none,2200
28034.0,80.19,7.0,,Gibraltar,38200
4203200.0,78.24,70273.0,,Ireland,46200
20796.0,71.22,459.0,typhoons (June to December),Palau,8100
149229090.0,46.94,923768.0,periodic droughts; flooding,Nigeria,2300
14573101.0,75.3,283561.0,frequent earthquakes; landslides; volcanic activity; floods; periodic droughts,Ecuador,7500
10211904.0,76.81,78867.0,flooding,Czech Republic,26100
388190.0,75.74,5765.0,typhoons earthquakes and severe flooding are rare,Brunei,53100
21262641.0,81.63,7741220.0,cyclones along the coast; severe droughts; forest fires,Australia,38100
66429284.0,71.14,1648195.0,periodic droughts floods; dust storms sandstorms; earthquakes,Iran,12800
34178188.0,74.02,2381741.0,mountainous areas subject to severe earthquakes; mudslides and floods in rainy season,Algeria,7000
7185218.0,72.33,21041.0,known as the Land of Volcanoes; frequent and sometimes destructive earthquakes and volcanic activity; extremely susceptible to hurricanes,El Salvador,6200
12373.0,69.29,26.0,severe tropical storms are usually rare but in 1997 there were three cyclones; low level of islands make them sensitive to changes in sea level,Tuvalu,1600
7051.0,79.07,242.0,persistent fog throughout the year can be a maritime hazard,Saint Pierre and Miquelon,7000
64522.0,71.19,181.0,infrequent typhoons,Marshall Islands,2500
16601707.0,77.34,756102.0,severe earthquakes; active volcanism; tsunamis,Chile,14900
3971020.0,78.53,13790.0,periodic droughts; hurricanes,Puerto Rico,17800
10414336.0,79.22,30528.0,flooding is a threat along rivers and in areas of reclaimed coastal land protected from the sea by concrete dikes,Belgium,37500
65905410.0,73.1,513120.0,land subsidence in Bangkok area resulting from the depletion of the water table; droughts,Thailand,8500
9035536.0,60.78,27750.0,lies in the middle of the hurricane belt and subject to severe storms from June to October; occasional flooding and earthquakes; periodic droughts,Haiti,1300
28945657.0,69.94,438317.0,dust storms; sandstorms; floods,Iraq,4000
7055071.0,81.86,1104.0,occasional typhoons,Hong Kong,43800
6440053.0,41.24,71740.0,dry sand-laden harmattan winds blow from the Sahara (December to February); sandstorms dust storms,Sierra Leone,700
4615807.0,76.72,69700.0,earthquakes,Georgia,4700
5500510.0,78.3,43094.0,flooding is a threat in some areas of the country (e.g. parts of Jutland along the southern coast of the island of Lolland) that are protected from the sea by a system of dikes,Denmark,37400
97976603.0,71.09,300000.0,astride typhoon belt usually affected by 15 and struck by five to six cyclonic storms per year; landslides; active volcanoes; destructive earthquakes; tsunamis,Philippines,3300
4012809.0,54.15,342000.0,seasonal flooding,Congo (Brazzaville),4000
4320748.0,70.8,33851.0,landslides,Moldova,2500
34859364.0,71.8,446550.0,northern mountains geologically unstable and subject to earthquakes; periodic droughts,Morocco,4000
4489409.0,75.35,56594.0,destructive earthquakes,Croatia,16100
287032.0,76.71,4167.0,occasional cyclonic storms in January,French Polynesia,18000
1533964.0,47.9,36125.0,hot dry dusty harmattan haze may reduce visibility during dry season; brush fires,Guinea-Bissau,600
112850.0,63.22,811.0,typhoons can occur any time but usually November to March; occasional tornadoes; low level of some of the islands make them sensitive to changes in sea level,Kiribati,3200
7604467.0,80.85,41277.0,avalanches landslides; flash floods,Switzerland,40900
90739.0,65.95,344.0,lies on edge of hurricane belt; hurricane season lasts from June to November,Grenada,13400
307899.0,68.2,22966.0,frequent devastating hurricanes (June to November) and coastal flooding (especially in south),Belize,8600
10707924.0,78.21,92090.0,Azores subject to severe earthquakes,Portugal,22000
1299371.0,72.82,45228.0,sometimes flooding occurs in the spring,Estonia,21200
3494382.0,76.35,176215.0,seasonally high winds (the pampero is a chilly and occasional violent wind that blows north from the Argentine pampas) droughts floods; because of the absence of mountains which act as weather barriers all locations are particularly vulnerable to rapid changes from weather fronts,Uruguay,12200
1782893.0,55.35,11295.0,drought (rainfall has dropped by 30% in the last 30 years),The Gambia,1300
633441.0,61.61,28051.0,violent windstorms; flash floods,Equatorial Guinea,31400
4017095.0,73.66,10400.0,dust storms sandstorms,Lebanon,11100
27606007.0,71.96,447400.0,,Uzbekistan,2600
10486339.0,75.78,163610.0,,Tunisia,7900
516055.0,43.37,23200.0,earthquakes; droughts; occasional cyclonic disturbances from the Indian Ocean bring heavy rains and flash floods,Djibouti,3700
67837.0,80.43,54.0,hurricanes (June to November),Bermuda,69900
85632.0,74.76,443.0,hurricanes and tropical storms (July to October); periodic droughts,Antigua and Barbuda,19000
72660.0,75.55,751.0,flash floods are a constant threat; destructive hurricanes can be expected during the late summer months,Dominica,9900
45644023.0,72.81,1138914.0,highlands subject to volcanic eruptions; occasional earthquakes; periodic droughts,Colombia,8900
8988091.0,52.09,27830.0,flooding; landslides; drought,Burundi,400
22974347.0,77.96,35980.0,earthquakes; typhoons,Taiwan,31900
5891199.0,71.5,130370.0,destructive earthquakes; volcanoes; landslides; extremely susceptible to hurricanes,Nicaragua,2900
284589.0,73.94,430.0,infrequent hurricanes; periodic landslides,Barbados,19300
3140.0,,12173.0,strong winds persist throughout the year,Falkland Islands (Islas Malvinas),35400
20653556.0,62.89,587041.0,periodic cyclones; drought; and locust infestation,Madagascar,1000
58126212.0,80.2,301340.0,regional risks include landslides mudflows avalanches earthquakes volcanic eruptions flooding; land subsidence in Venice,Italy,31000
691141.0,66.13,38394.0,violent storms from the Himalayas are the source of the country's name which translates as Land of the Thunder Dragon; frequent landslides during the rainy season,Bhutan,5600
41087825.0,51.42,2505813.0,dust storms and periodic persistent droughts,Sudan,2200
28563377.0,65.46,147181.0,severe thunderstorms; flooding; landslides; drought and famine depending on the timing intensity and duration of the summer monsoons,Nepal,1100
405165.0,79.44,316.0,,Malta,24200
396334.0,73.97,298.0,low level of islands makes them sensitive to sea level rise,Maldives,5000
481267.0,73.73,163820.0,,Suriname,8900
49035.0,80.44,264.0,hurricanes (July to November),Cayman Islands,43800
14436.0,80.65,91.0,frequent hurricanes and other tropical storms (July to October),Anguilla,8800
26814843.0,73.61,912050.0,subject to floods rockslides mudslides; periodic droughts,Venezuela,13500
227049.0,76.65,800.0,Sint Maarten Saba and Sint Eustatius are subject to hurricanes from July to October; Curacao and Bonaire are south of Caribbean hurricane belt and are rarely threatened,Netherlands Antilles,16000
22665345.0,63.81,120538.0,late spring droughts often followed by severe flooding; occasional typhoons during the early fall,North Korea,1700
7233701.0,80.73,22072.0,sandstorms may occur during spring and summer; droughts; periodic earthquakes,Israel,28200
309156.0,65.78,13880.0,hurricanes and other tropical storms cause extensive flood and wind damage,The Bahamas,28600
306694.0,80.67,103000.0,earthquakes and volcanic activity,Iceland,39900
11862740.0,38.63,752618.0,periodic drought; tropical storms (November to April),Zambia,1500
8210281.0,79.5,83871.0,landslides; avalanches; earthquakes,Austria,39200
6057263.0,66.34,462840.0,"active volcanism; situated along the Pacific ""Ring of Fire""; the country is subject to frequent and sometimes severe earthquakes; mud slides; tsunamis",Papua New Guinea,2200
20617068.0,55.45,322463.0,coast has heavy surf and no natural harbors; during the rainy season torrential flooding is possible,Cote d'Ivoire,1700
1229953.0,70.86,5128.0,outside usual path of hurricanes and other tropical storms,Trinidad and Tobago,18600
11392629.0,45.77,390757.0,recurring droughts; floods and severe storms are rare,Zimbabwe,200
82329758.0,79.26,357022.0,flooding,Germany,34800
218519.0,63.98,12189.0,tropical cyclones or typhoons (January to April); volcanic eruption on Aoba (Ambae) island began 27 November 2005 volcanism also causes minor earthquakes; tsunamis,Vanuatu,4600
15399437.0,67.87,2724900.0,earthquakes in the south; mudslides around Almaty,Kazakhstan,11500
38482919.0,75.63,312685.0,flooding,Poland,17300
3129486.0,60.37,1030700.0,hot dry dust/sand-laden sirocco wind blows primarily in March and April; periodic droughts,Mauritania,2100
5431747.0,69.43,199951.0,,Kyrgyzstan,2100
223765.0,62.91,374.0,cyclones during rainy season,Mayotte,4900
5097.0,72.76,102.0,severe hurricanes (June to November); volcanic eruptions (Soufriere Hills volcano has erupted continuously since 1995),Montserrat,3400
227436.0,74.98,18575.0,cyclones most frequent from November to March,New Caledonia,15000
2066718.0,74.68,25713.0,high seismic risks,Macedonia,9000
6995655.0,75.77,406752.0,local flooding in southeast (early September to June); poorly drained plains may become boggy (early October to June),Paraguay,4200
2231503.0,72.15,64589.0,,Latvia,17800
127078679.0,82.12,377915.0,many dormant and some active volcanoes; about 1 500 seismic occurrences (mostly tremors) every year; tsunamis; typhoons,Japan,34200
20178485.0,71.19,185180.0,dust storms sandstorms,Syria,4800
48137741.0,63.39,676578.0,destructive earthquakes and cyclones; flooding and landslides common during rainy season (June to September); periodic droughts,Burma,1200
7792854.0,69.4,112090.0,frequent but generally mild earthquakes; extremely susceptible to damaging hurricanes and floods along the Caribbean coast,Honduras,4400
111211789.0,76.06,1964375.0,tsunamis along the Pacific coast volcanoes and destructive earthquakes in the center and south and hurricanes on the Pacific Gulf of Mexico and Caribbean coasts,Mexico,14200
83082869.0,72.12,1001450.0,periodic droughts; frequent earthquakes; flash floods; landslides; hot driving windstorm called khamsin occurs in spring; dust storms; sandstorms,Egypt,5400
4657542.0,81.98,697.0,,Singapore,52000
7379339.0,73.9,77474.0,destructive earthquakes,Serbia,10900
752438.0,63.47,2235.0,cyclones possible during rainy season (December to April); Le Karthala on Grand Comore is an active volcano,Comoros,1000
61113205.0,79.01,243610.0,winter windstorms; floods,United Kingdom abbreviation: UK,36600
10737428.0,79.66,131957.0,severe earthquakes,Greece,32000
21324791.0,75.14,65610.0,occasional cyclones and tornadoes,Sri Lanka,4300
2108665.0,51.24,824292.0,prolonged periods of drought,Namibia,5400
1990876.0,61.85,581730.0,periodic droughts; seasonal August winds blow from the west carrying sand and dust across the country which can obscure visibility,Botswana,13300
1398.0,,260.0,typhoons,Niue note: pronunciation falls between nyu-way and new-way but not like new-wee,5800
